2012-09-11 05:11:03 startup archives install
2012-09-11 05:11:03 install base-files <none> 6.4ubuntu5
2012-09-11 05:11:03 status half-installed base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 install base-passwd <none> 3.5.23
2012-09-11 05:11:03 status half-installed base-passwd 3.5.23
2012-09-11 05:11:03 status unpacked base-passwd 3.5.23
2012-09-11 05:11:03 status unpacked base-passwd 3.5.23
2012-09-11 05:11:03 configure base-passwd 3.5.23 3.5.23
2012-09-11 05:11:03 status unpacked base-passwd 3.5.23
2012-09-11 05:11:03 status half-configured base-passwd 3.5.23
2012-09-11 05:11:03 status installed base-passwd 3.5.23
2012-09-11 05:11:03 configure base-files 6.4ubuntu5 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:03 status half-configured base-files 6.4ubuntu5
2012-09-11 05:11:03 status installed base-files 6.4ubuntu5
2012-09-11 05:11:03 startup archives install
2012-09-11 05:11:03 upgrade dpkg 1.16.0.3ubuntu5 1.16.0.3ubuntu5
2012-09-11 05:11:03 status half-configured dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:03 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:03 status half-installed dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status half-installed dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 configure dpkg 1.16.0.3ubuntu5 1.16.0.3ubuntu5
2012-09-11 05:11:04 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status unpacked dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status half-configured dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 status installed dpkg 1.16.0.3ubuntu5
2012-09-11 05:11:04 startup archives install
2012-09-11 05:11:04 install libc6 <none> 2.13-20ubuntu5
2012-09-11 05:11:04 status half-installed libc6 2.13-20ubuntu5
2012-09-11 05:11:04 status unpacked libc6 2.13-20ubuntu5
2012-09-11 05:11:04 status unpacked libc6 2.13-20ubuntu5
2012-09-11 05:11:04 configure libc6 2.13-20ubuntu5 2.13-20ubuntu5
2012-09-11 05:11:04 status unpacked libc6 2.13-20ubuntu5
2012-09-11 05:11:04 status unpacked libc6 2.13-20ubuntu5
2012-09-11 05:11:04 status half-configured libc6 2.13-20ubuntu5
2012-09-11 05:11:04 status installed libc6 2.13-20ubuntu5
2012-09-11 05:11:04 startup archives install
2012-09-11 05:11:04 install perl-base <none> 5.12.4-4
2012-09-11 05:11:04 status half-installed perl-base 5.12.4-4
2012-09-11 05:11:04 status unpacked perl-base 5.12.4-4
2012-09-11 05:11:04 status unpacked perl-base 5.12.4-4
2012-09-11 05:11:04 configure perl-base 5.12.4-4 5.12.4-4
2012-09-11 05:11:04 status unpacked perl-base 5.12.4-4
2012-09-11 05:11:04 status half-configured perl-base 5.12.4-4
2012-09-11 05:11:04 status installed perl-base 5.12.4-4
2012-09-11 05:11:04 startup archives install
2012-09-11 05:11:04 install mawk <none> 1.3.3-15ubuntu2
2012-09-11 05:11:04 status half-installed mawk 1.3.3-15ubuntu2
2012-09-11 05:11:04 status unpacked mawk 1.3.3-15ubuntu2
2012-09-11 05:11:04 status unpacked mawk 1.3.3-15ubuntu2
2012-09-11 05:11:04 configure mawk 1.3.3-15ubuntu2 1.3.3-15ubuntu2
2012-09-11 05:11:04 status unpacked mawk 1.3.3-15ubuntu2
2012-09-11 05:11:04 status half-configured mawk 1.3.3-15ubuntu2
2012-09-11 05:11:04 status installed mawk 1.3.3-15ubuntu2
2012-09-11 05:11:04 startup archives unpack
2012-09-11 05:11:04 install adduser <none> 3.112+nmu1ubuntu5
2012-09-11 05:11:04 status half-installed adduser 3.112+nmu1ubuntu5
2012-09-11 05:11:04 status unpacked adduser 3.112+nmu1ubuntu5
2012-09-11 05:11:04 status unpacked adduser 3.112+nmu1ubuntu5
2012-09-11 05:11:04 upgrade base-files 6.4ubuntu5 6.4ubuntu5
2012-09-11 05:11:04 status half-configured base-files 6.4ubuntu5
2012-09-11 05:11:04 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:04 status half-installed base-files 6.4ubuntu5
2012-09-11 05:11:04 status half-installed base-files 6.4ubuntu5
2012-09-11 05:11:04 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:04 status unpacked base-files 6.4ubuntu5
2012-09-11 05:11:04 upgrade base-passwd 3.5.23 3.5.23
2012-09-11 05:11:04 status half-configured base-passwd 3.5.23
2012-09-11 05:11:04 status unpacked base-passwd 3.5.23
2012-09-11 05:11:04 status half-installed base-passwd 3.5.23
2012-09-11 05:11:04 status half-installed base-passwd 3.5.23
2012-09-11 05:11:04 status unpacked base-passwd 3.5.23
2012-09-11 05:11:04 status unpacked base-passwd 3.5.23
2012-09-11 05:11:04 install bash <none> 4.2-0ubuntu4
2012-09-11 05:11:04 status half-installed bash 4.2-0ubuntu4
2012-09-11 05:11:04 status unpacked bash 4.2-0ubuntu4
2012-09-11 05:11:04 status unpacked bash 4.2-0ubuntu4
2012-09-11 05:11:04 install bsdutils <none> 1:2.19.1-2ubuntu3
2012-09-11 05:11:04 status half-installed bsdutils 1:2.19.1-2ubuntu3
2012-09-11 05:11:04 status unpacked bsdutils 1:2.19.1-2ubuntu3
2012-09-11 05:11:04 status unpacked bsdutils 1:2.19.1-2ubuntu3
2012-09-11 05:11:04 install busybox-initramfs <none> 1:1.18.4-2ubuntu2
2012-09-11 05:11:04 status half-installed busybox-initramfs 1:1.18.4-2ubuntu2
2012-09-11 05:11:04 status unpacked busybox-initramfs 1:1.18.4-2ubuntu2
2012-09-11 05:11:04 status unpacked busybox-initramfs 1:1.18.4-2ubuntu2
2012-09-11 05:11:04 install coreutils <none> 8.5-1ubuntu6
2012-09-11 05:11:04 status half-installed coreutils 8.5-1ubuntu6
2012-09-11 05:11:04 status unpacked coreutils 8.5-1ubuntu6
2012-09-11 05:11:04 status unpacked coreutils 8.5-1ubuntu6
2012-09-11 05:11:04 install cpio <none> 2.11-7ubuntu1
2012-09-11 05:11:04 status half-installed cpio 2.11-7ubuntu1
2012-09-11 05:11:04 status unpacked cpio 2.11-7ubuntu1
2012-09-11 05:11:04 status unpacked cpio 2.11-7ubuntu1
2012-09-11 05:11:04 install dash <none> 0.5.5.1-7.4ubuntu1
2012-09-11 05:11:04 status half-installed dash 0.5.5.1-7.4ubuntu1
2012-09-11 05:11:04 status unpacked dash 0.5.5.1-7.4ubuntu1
2012-09-11 05:11:04 status unpacked dash 0.5.5.1-7.4ubuntu1
2012-09-11 05:11:04 install debconf <none> 1.5.40ubuntu1
2012-09-11 05:11:04 status half-installed debconf 1.5.40ubuntu1
2012-09-11 05:11:04 status unpacked debconf 1.5.40ubuntu1
2012-09-11 05:11:04 status unpacked debconf 1.5.40ubuntu1
2012-09-11 05:11:04 install debianutils <none> 4.0.2
2012-09-11 05:11:04 status half-installed debianutils 4.0.2
2012-09-11 05:11:05 status unpacked debianutils 4.0.2
